일련번호,시장/마트 번호,시장/마트 이름,품목 번호,품목 이름,실판매규격,가격(원),년도-월,비고,점검일자,시장유형 구분(시장/마트) 코드,시장유형 구분(시장/마트) 이름,자치구 코드,자치구 이름
814898,21,홈플러스 영등포점,17,달걀,10개,2033,15-Sep,30개 6100원,2015-09-24,2,대형마트,560000,영등포구
814908,19,대림중앙시장,23,상추,1봉,700,15-Sep, ,2015-09-24,1,전통시장,560000,영등포구
814913,19,대림중앙시장,18,닭고기,1마리,6000,15-Sep,,2015-09-24,1,전통시장,560000,영등포구
814914,19,대림중앙시장,17,달걀,10개,2100,15-Sep,,2015-09-24,1,전통시장,560000,영등포구
814923,22,이마트 여의도점,23,상추,1봉,1780,15-Sep,예냉상추,2015-09-24,2,대형마트,560000,영등포구
814924,22,이마트 여의도점,25,무,1개 ,1650,15-Sep,햇무 ,2015-09-24,2,대형마트,560000,영등포구
814929,22,이마트 여의도점,18,닭고기,1마리,5800,15-Sep,하림 1kg,2015-09-24,2,대형마트,560000,영등포구
814938,146,방이시장,25,무,1개(1kg),2500,15-Sep, ,2015-09-24,1,전통시장,710000,송파구
815017,31,인왕시장,25,무,1개(1kg),1500,15-Sep,제주 ,2015-09-24,1,전통시장,410000,서대문구
815018,31,인왕시장,24,양파,1망(1.5kg),3000,15-Sep,무안,2015-09-24,1,전통시장,410000,서대문구
815024,31,인왕시장,18,닭고기,1마리(1kg),4000,15-Sep,신선육. 해마루 유통,2015-09-24,1,전통시장,410000,서대문구
815025,31,인왕시장,17,달걀,10개(65g),3000,15-Sep,으뜸 영양란,2015-09-24,1,전통시장,410000,서대문구
815033,33,현대백화점 신촌점,25,무,1개(1.7kg),2000,15-Sep,제주. 친환경,2015-09-24,2,대형마트,410000,서대문구
815034,33,현대백화점 신촌점,24,양파,1망(1.9kg),3500,15-Sep,무안. 문경미네. ,2015-09-24,2,대형마트,410000,서대문구
815035,33,현대백화점 신촌점,23,상추,1봉지(100g),1800,15-Sep,충주. 친환경,2015-09-24,2,대형마트,410000,서대문구
815036,33,현대백화점 신촌점,22,오이,1개(다다기오이),600,15-Sep,경북 구미. 세일,2015-09-24,2,대형마트,410000,서대문구
815041,33,현대백화점 신촌점,17,달걀,10개,3200,15-Sep,신선특란. 경기 이천,2015-09-24,2,대형마트,410000,서대문구
815049,32,영천시장,25,무,1개(1.5kg),1500,15-Sep,제주,2015-09-24,1,전통시장,410000,서대문구
815050,32,영천시장,24,양파,1망(1.3kg),3000,15-Sep,무안. ,2015-09-24,1,전통시장,410000,서대문구
815051,32,영천시장,23,상추,1봉지(100g),600,15-Sep,서청주,2015-09-24,1,전통시장,410000,서대문구
815056,32,영천시장,18,닭고기,1마리(1.13kg),6000,15-Sep,하림 신성토종닭(12호),2015-09-24,1,전통시장,410000,서대문구
815065,220,굿모닝마트 유진점,25,무,1개(1.5kg),1590,15-Sep,제주 ,2015-09-24,2,대형마트,410000,서대문구
815066,220,굿모닝마트 유진점,24,양파,1망(1kg),2990,15-Sep,무한,2015-09-24,2,대형마트,410000,서대문구
815072,220,굿모닝마트 유진점,18,닭고기,1마리 (1.2kg),9900,15-Sep,마니커 토종닭세일,2015-09-24,2,대형마트,410000,서대문구
815073,220,굿모닝마트 유진점,17,달걀,10개(60g),3390,15-Sep,초이스L 무항생제정란,2015-09-24,2,대형마트,410000,서대문구
